Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
CL,rubber,2,7,6,7,7,7,6,7,8,3,7,10,6,7,10,7,7,8,7,8,10,7,8,5,7,8,6,7,7,8,10,11,5,1,11,7,8,6,6,9,8,5,10,7,6,9,7,7,5,6,8,8,2,5,3,6,6,5,6,7,6,12,7,7,5,8,8,2,10,6,6,3,12,6,6,11,7,6,11,7,9,7,8,6,7,6,7,4,7,9,9,3,10,12,4,8,2,7,8,6
1,elastic,5,4,1,3,3,3,2,1,3,4,2,2,3,3,2,3,2,3,4,5,1,1,4,3,3,1,3,4,1,2,2,4,1,5,4,2,2,2,2,3,5,4,2,3,1,2,1,1,3,3,1,2,3,1,2,3,2,1,2,3,3,2,1,4,4,1,4,4,1,4,4,4,1,4,1,3,4,2,4,1,1,2,4,2,5,3,2,3,3,1,3,2,2,2,7,4,4,4,3,3
2,bounce,6,3,0,4,5,4,5,0,0,11,0,0,7,9,3,0,3,7,5,4,5,2,0,0,4,0,4,0,3,4,3,5,0,11,0,0,1,4,3,4,6,0,0,5,0,3,3,0,0,7,3,3,4,0,0,4,4,2,0,4,7,1,2,5,7,3,5,3,5,5,3,5,2,0,0,7,0,0,5,2,0,0,5,3,0,4,3,2,5,2,5,0,3,4,0,5,5,5,0,4
3,gloves,7,11,0,12,8,12,13,0,0,10,10,12,10,11,13,0,0,10,12,6,9,11,11,10,13,11,11,11,13,6,12,7,0,10,8,0,11,13,0,0,12,0,12,11,0,0,13,11,0,5,0,12,0,0,8,10,12,10,8,12,10,13,0,0,6,0,7,9,6,9,9,0,6,0,0,12,12,0,0,12,12,0,12,0,11,0,10,12,0,0,11,0,11,13,11,12,10,8,0,11
4,tire,0,0,0,13,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,13,0,14,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0
5,ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
6,eraser,0,0,10,0,0,0,12,0,0,0,0,11,13,0,12,0,0,0,0,0,0,0,0,0,11,0,12,9,0,12,0,0,0,8,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,14,0,0,0,8,0,0,14,0,0,14,0,8,0,0,0,11,0,0,0,13,0,0,0,0,0,0,11,11,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,9,0,0,13,0,0,0
7,springy,11,5,7,6,9,6,9,10,5,9,9,5,11,6,6,5,8,2,8,10,3,5,7,8,9,5,5,10,10,13,7,10,11,2,9,8,3,7,5,8,7,6,9,8,9,6,8,4,10,11,6,9,5,9,5,7,5,4,11,10,8,7,6,10,10,10,6,5,7,12,10,1,8,10,10,6,8,9,7,9,10,9,9,4,10,11,5,6,4,10,12,1,4,7,9,6,7,10,10,5
8,foam,9,6,8,9,10,9,8,8,9,8,4,6,8,5,7,6,9,4,9,11,11,9,9,4,10,7,7,8,8,9,8,9,7,7,7,6,7,11,7,10,10,7,8,9,8,8,9,6,9,13,7,5,8,7,6,9,9,6,9,8,9,9,5,9,8,9,12,6,11,11,11,7,11,9,8,8,9,10,9,11,8,8,10,9,9,10,6,11,6,8,8,10,5,8,6,10,11,11,9,7
9,galoshes,12,12,0,0,12,0,0,0,0,12,0,13,0,13,0,0,0,0,0,13,0,12,0,11,0,0,0,0,11,11,13,0,8,0,0,10,12,12,0,0,0,8,0,0,0,12,12,10,0,0,0,0,0,11,9,12,11,0,12,11,13,0,0,0,0,13,0,10,13,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,13,0,0
10,soles,10,10,9,10,13,10,11,9,7,5,8,9,12,10,11,9,11,9,10,12,8,8,10,9,12,10,9,3,12,14,11,8,9,9,10,9,10,10,8,11,11,3,6,10,10,11,10,8,8,10,10,11,11,10,7,8,13,9,7,9,11,10,9,11,11,12,9,7,12,2,12,9,9,8,9,10,10,8,10,10,7,4,11,8,8,7,9,9,10,11,10,9,9,10,10,11,9,12,4,10
11,latex,8,8,3,11,11,8,7,6,6,7,6,7,9,8,8,8,10,5,11,9,7,10,6,7,8,9,10,6,9,7,9,6,6,6,6,4,9,9,10,7,9,2,7,6,7,10,11,9,7,2,9,10,9,6,4,11,10,7,5,6,12,11,10,8,9,7,11,8,9,7,8,10,10,7,7,9,6,7,8,8,6,6,7,10,6,8,8,7,8,7,6,8,8,11,5,9,6,9,7,9
12,glue,3,9,4,8,6,11,10,3,2,6,1,8,4,1,5,2,4,6,6,7,6,6,2,1,5,6,8,5,6,5,5,1,10,4,5,5,5,8,9,6,1,1,1,4,5,7,6,2,1,8,5,6,7,3,1,13,8,8,3,5,4,6,8,3,2,6,10,1,8,8,7,6,5,5,5,4,3,5,6,5,5,3,6,7,3,5,4,10,9,6,7,6,6,6,3,7,8,6,5,8
13,flexible,4,0,2,5,4,5,4,5,4,0,3,4,5,2,9,0,5,1,2,1,2,4,5,6,6,4,0,2,5,3,6,3,4,0,2,3,6,5,11,2,4,0,5,2,4,5,5,0,2,4,0,7,10,4,0,5,7,0,4,2,5,4,0,6,3,5,2,0,3,0,5,11,7,3,4,1,5,4,3,6,3,5,2,0,4,9,0,0,11,5,4,7,0,3,8,3,0,3,6,0
14,resilient,1,1,5,2,2,1,1,4,1,2,5,3,1,4,4,4,1,0,3,2,4,3,3,0,1,3,2,1,2,1,4,2,3,0,3,1,4,1,4,1,3,0,4,1,2,1,4,3,4,1,2,4,1,2,0,2,1,3,1,0,1,3,3,1,1,4,3,0,2,1,2,8,4,1,3,2,2,3,2,3,2,1,3,5,2,2,1,5,2,3,2,5,7,1,1,1,3,1,2,2
15,stretch,0,2,0,1,1,2,3,2,0,1,0,1,2,0,1,1,6,0,1,3,0,0,1,2,2,2,1,0,4,0,1,0,2,3,1,0,0,3,1,5,2,0,3,0,3,4,2,5,6,0,4,1,6,0,0,1,3,0,0,1,2,5,4,2,0,2,1,0,4,3,1,2,3,2,2,5,1,1,1,4,4,0,1,1,1,1,0,1,1,4,1,4,1,5,2,2,1,2,1,1
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,command,4,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
