Ss/list order:,words,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,57a,58a,59a,60a,61a,62a,63a,64a,65a,12b,13b,14b,15b,16b,17b,18b,19b,20b,21b,44b,46b,47b,48b,50b,52b,53b,54b,55b,56b,22c,23c,25c,26c,27c,28c,29c,30c,31c,32c,66c,67c,69c,70c,71c,72c,73c,74c,75c,76c,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,77d,79d,81d,82d,85d,86d,87d,88d,89d
CL,rubber,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,9,0,0,0,0,0,0,6,0,0,9,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,11,0,0,0,0,7,0,0,0,0,0,0,4,0,1,8,0,5,0
1,elastic,2,2,9,9,4,2,4,10,5,6,6,2,1,6,3,1,1,7,0,7,6,0,0,0,4,6,3,1,0,1,3,0,0,13,5,3,7,6,0,4,10,2,6,0,1,0,7,0,3,5,0,3,1,4,3,1,2,6,0,7,5,13,4,0,0,6,1,3,0,6,4,8,2,9,1,9,1,4,1,7
2,bounce,0,5,7,5,5,0,0,0,0,11,5,3,0,0,4,4,3,9,4,6,5,0,0,0,0,5,4,2,7,2,6,7,5,7,3,4,0,7,5,9,8,0,7,4,2,8,3,0,8,8,0,6,2,6,0,2,3,0,1,0,10,14,5,0,0,0,10,0,0,7,0,10,0,6,2,6,0,1,3,6
3,gloves,9,0,11,10,0,6,0,9,0,0,10,4,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,9,3,4,0,6,8,10,0,0,10,0,7,0,5,0,8,0,0,0,0,5,3,0,4,0,0,0,0,0,0,8,0,4,7,6,0,7,0,0,0,0,4,0,0,7,7,10,8,0,5,0,8
4,tire,0,7,5,11,7,7,9,8,9,8,9,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,2,0,0,9,11,0,0,11,6,0,7,0,0,11,0,0,0,0,6,0,0,0,8,0,0,0,0,0,9,6,0,6,7,0,0,0,0,7,0,9,0,7,0,0,4,0,5,10,4,0
5,ball,1,4,8,6,0,0,0,0,0,5,0,5,4,0,5,5,0,8,3,0,4,0,0,2,6,0,5,11,8,5,0,4,0,14,8,6,0,12,0,5,11,0,8,5,6,0,4,0,9,0,0,5,3,7,0,0,4,0,5,5,8,5,8,0,0,4,9,4,0,8,0,0,5,0,3,2,0,3,2,0
6,eraser,0,0,10,0,0,0,0,7,0,7,0,0,0,8,0,0,0,11,0,0,0,0,6,4,0,0,0,0,0,7,0,0,0,12,0,7,4,13,2,0,9,0,9,6,0,0,5,0,0,6,0,0,9,0,0,0,0,8,0,0,9,4,9,0,0,5,0,0,0,0,0,0,0,0,0,10,9,0,0,0
7,springy,6,0,0,0,0,8,10,6,8,0,0,0,0,7,0,10,2,5,0,5,7,0,7,3,0,0,6,0,6,0,0,6,7,11,4,0,0,0,0,0,0,0,4,10,0,7,10,0,4,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,8,8,0,0,0,9,0,8,0,11,0,0,0,0
8,foam,0,3,0,0,0,0,5,0,4,9,0,0,0,0,0,2,0,4,0,1,0,0,8,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,4,0,0,12,10,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0
9,galoshes,8,6,6,7,0,10,7,4,0,10,4,0,0,4,8,6,7,6,5,2,0,0,0,0,0,8,0,5,0,0,7,0,0,6,9,0,0,0,0,6,0,4,0,0,0,0,8,3,0,0,0,0,4,8,7,0,0,10,0,8,6,8,0,0,4,0,5,6,0,3,0,6,0,0,8,7,6,8,0,0
10,soles,10,0,0,8,6,11,8,0,0,0,11,0,0,5,0,7,8,0,6,8,0,0,0,0,0,9,0,6,0,0,8,0,0,0,7,0,0,14,0,10,5,0,0,0,0,5,0,4,0,0,5,0,11,0,8,0,0,9,0,9,0,9,12,0,5,0,6,0,0,0,0,5,3,0,9,0,7,6,0,0
11,latex,5,0,0,2,2,5,6,5,7,4,12,6,0,0,6,3,0,10,0,0,3,1,0,0,1,4,0,7,5,4,0,5,4,4,0,0,0,8,3,8,4,0,0,9,5,6,6,0,0,2,0,0,0,5,0,0,5,1,6,0,0,10,11,5,3,0,2,0,3,11,1,4,6,5,5,3,4,0,7,4
12,glue,4,0,4,1,3,4,0,2,2,0,7,0,5,0,2,0,4,0,0,0,8,2,2,0,0,3,2,8,2,10,0,3,0,5,0,8,0,4,4,0,0,0,0,7,0,4,0,0,0,0,0,7,10,0,0,0,6,2,0,0,1,0,0,3,0,2,0,0,2,10,2,3,0,0,0,0,3,0,9,1
13,flexible,3,0,1,3,0,9,2,0,6,1,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,10,0,0,1,11,0,1,1,1,0,5,1,1,0,1,1,0,2,1,7,1,0,0,2,0,1,2,5,1,0,0,7,3,7,1,0,1,1,4,0,0,3,0,0,1,0,12,0,1,0,0,0,0,0,2
14,resilient,0,0,2,4,0,1,1,3,3,2,3,0,0,2,0,8,0,2,2,3,1,5,1,5,3,1,0,4,3,8,0,0,2,2,1,2,2,2,0,2,2,0,3,2,4,2,2,1,7,1,2,0,6,2,1,0,0,4,2,2,3,2,2,1,2,1,0,2,0,2,0,1,1,2,6,4,0,9,6,3
15,stretch,0,1,3,0,1,3,3,1,1,3,2,1,0,3,1,9,6,3,1,4,2,4,3,1,5,2,1,3,4,9,1,2,3,3,2,1,0,3,1,3,3,3,1,3,3,3,1,2,1,4,3,1,7,3,2,3,1,5,3,3,2,3,3,2,1,3,4,1,1,5,3,2,4,3,7,5,2,2,8,5
othr,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CL,command,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
1,order,0,8,11,4,0,5,10,7,0,5,6,7,1,6,2,3,1,0,12,1,4,1,4,1,7,9,8,3,0,9,8,1,1,0,6,10,0,9,4,9,10,3,10,9,5,0,7,0,4,0,0,0,9,0,0,1,0,0,8,4,3,9,1,0,0,5,4,3,5,10,0,6,6,6,6,1,0,9,1,8
2,army,9,7,0,7,8,4,5,8,9,6,7,0,2,4,1,9,0,0,4,2,0,2,8,0,0,8,6,7,2,8,9,2,2,5,7,2,3,8,0,8,8,8,0,10,3,10,8,4,8,8,5,5,4,10,3,0,6,0,9,5,4,8,2,0,0,6,0,4,7,7,0,8,7,0,5,2,8,11,2,0
3,obey,7,0,6,0,9,0,4,9,11,7,9,8,3,0,4,4,3,8,11,8,5,3,0,9,0,0,0,0,8,0,10,3,3,7,0,5,2,0,7,10,12,4,9,0,0,12,0,8,0,0,0,4,0,7,0,0,5,7,0,6,0,11,0,5,6,0,0,10,0,9,0,7,0,7,7,4,0,4,8,7
4,officer,3,0,7,0,7,6,3,0,0,10,12,3,4,5,3,5,2,0,10,0,10,0,7,2,0,0,5,0,0,0,11,0,0,6,8,6,0,7,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,4,2,0,5,0,7,5,10,0,2,0,0,6,0,3,5,0,0,0,0,0,3,0,5,3,0
5,performance,6,0,8,0,0,7,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,5,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,1,0,11,0,7,0,0,0
6,do,0,5,10,8,1,9,7,0,4,1,0,0,0,7,0,0,0,6,8,0,6,4,5,6,1,0,0,4,5,0,12,0,4,0,0,0,0,0,0,1,5,5,3,7,0,0,3,6,6,4,0,0,1,0,6,0,0,0,4,0,6,3,0,0,0,0,0,5,0,11,0,5,0,1,0,0,0,6,5,10
7,tell,0,6,0,9,2,10,8,0,5,2,0,5,0,0,0,0,0,7,9,0,7,0,6,7,2,0,0,5,6,3,3,0,5,9,5,11,0,11,0,2,6,6,4,8,0,9,4,7,7,6,0,0,2,0,7,0,0,0,5,0,7,0,0,0,0,0,0,6,0,0,0,0,0,2,9,0,0,7,4,0
8,general,4,3,9,6,3,0,0,6,6,0,0,6,7,0,5,7,0,9,7,6,0,0,0,0,3,7,0,6,1,5,0,6,6,0,9,7,6,0,3,3,0,7,6,5,0,7,5,3,9,7,0,7,3,5,0,0,7,0,6,8,0,5,7,3,5,0,3,9,4,0,0,10,4,3,3,0,4,10,7,6
9,shout,0,4,0,10,4,11,6,10,7,0,11,0,0,0,6,11,0,0,0,0,9,0,0,0,0,6,9,0,0,4,13,0,0,10,4,3,0,12,8,5,9,0,0,6,0,6,6,0,2,5,0,3,0,6,8,3,0,8,0,0,8,4,8,0,0,0,0,0,0,12,0,4,0,4,10,0,6,8,6,0
